adalah
agar
akan
alih-alih
amat
andai kata
andaikan
antara
apa
apabila
apakah
asalkan
atau
bagaimana
bahwa
begitu
betapa
bukan
cuma
dahulu
dan
dari
daripada
demi
demikian
dengan
di
dimana
dini
dulu
entah
hal
hanya
hingga
ibarat
ini
itu
jangankan
jika
jikala
juga
kalau
kan
kapan
ke
kemudian
kenapa
kepada
ketika
kok
lagi
lagipula
lah
macam
makanya
malah
manakala
masih
maupun
mengapa
meski
nah
namun
nggak
oleh
oleh karena itu
oleh sebab itu
pada
padahal
paling
per
pula
saat
saja
sambil
sampai
sampai-sampai
sangat
seandai
seandainya
sebelum
sedangkan
sedari
sedemikian
segala
sehabis
sehingga
sejak
sekaligus
sekiranya
sela
selagi
selama
selanjutnya
selesai
semenjak
sementara
semua
seolah-olah
seperti
seraya
serta
sesudah
setelah
seumpamanya
seusai
sewaktu
siapa
sini
supaya
tak
tanpa
tapi
tatkala
tentang
tetapi
tiba
tidak
toh
untuk
usah
wah
wong
yaitu
yakni
yang
